SimulationIndex,Time,Distance,Velocity,Max Velocity,Acceleration,Motor Power,Battery Power,Battery Energy
189,0.20490600231391692,0.9500000000000001,6.864938878290979,100,16.404823200858694,285000.0,285000.0,58398.21065946631
190,0.2056343409180393,0.9550000000000001,6.87686633177281,100,16.37624782528542,285000.0,285000.0,58605.787161641194
191,0.20636141626875518,0.96,6.88875246525733,100,16.347870234930877,285000.0,285000.0,58813.00363659522
192,0.20708723709411028,0.965,6.900597634703104,100,16.31968804419322,285000.0,285000.0,59019.86257182142
193,0.20781181201713653,0.97,6.912402191185608,100,16.291698908377555,285000.0,285000.0,59226.36642488389
194,0.20853514955764824,0.975,6.924166480988891,100,16.263900522791214,285000.0,285000.0,59432.51762392973
195,0.20925725813399862,0.98,6.93589084569505,100,16.2362906218546,285000.0,285000.0,59638.31856818959
196,0.2099781460647975,0.985,6.947575622271595,100,16.208866978250203,285000.0,285000.0,59843.77162846727
197,0.21069782157059144,0.99,6.959221143156759,100,16.181627402084036,285000.0,285000.0,60048.87914761854
198,0.21141629277550733,0.995,6.970827736342802,100,16.15456974006585,285000.0,285000.0,60253.64344101957
199,0.21213356770886024,1.0,6.982395725457384,100,16.127691874728736,285000.0,285000.0,60458.06679702516
